sOccupation,cJobTitle
50,Chemical Engineer (Petroleum And Natural Gas)
152,Chemical Filtering And Separating Equipment Operator
50,Chemical Process Engineer
152,Chemical Process Technician
50,Chemical Process Technologist
399,Chemical Processing Plant Operator (Electric Cells)
399,Chemical Processing Plant Operator (Radioactive Materials)
39,Chemical Researcher
152,Chemical Still And Reactor Operator
39,Chemist
139,Chemistry Technician
94,Chemistry Tutor (Private Tuition)
210,Chess Instructor
209,Chess Player
414,Chewing-Gum Maker
302,Chicken  Sexer
302,Chicken Farmer
26,Chief Clinical Officer
12,Chief Compliance Officer
6,Chief Constable (Police)
215,Chief Cook
159,Chief Engineer (Ship)
477,Chief Executive
477,Chief Executive Officer
10,Chief Financial Officer
24,Chief Information Officer
119,Chief Justice
31,Chief Librarian
160,Chief Mate (Ship)
477,Chief Operating Officer
2,Chief Petty Officer (Navy)
26,Chief Public Health Officer
10,Chief Purser (Ship)
260,Chief Steward (Hotel)
252,Chief Steward (Ship)
260,Chief Stewardess (Hotel)
252,Chief Stewardess (Ship)
24,Chief Technology Officer
5,Chief Whip
5,Chief Whip
127,Child And Youth Counsellor
25,Child Care Centre Manager
285,Child Care Worker
285,Child Carer
25,Childcare Centre Director
25,Childcare Centre Licensee
25,Childcare Director
25,Childcare Manager
285,Children Governess
25,Children's Services Director
25,Children's Services Manager
319,Chimney Builder
333,Chimney Flue Cleaner
323,Chimney Repairer
333,Chimney Sweep
333,Chimney-Sweep
69,Chinese Medicine Doctor
69,Chinese Medicine Herbalist
69,Chinese Medicine Practitioner
69,Chinese Medicine Specialist
417,Chipper Operator (Wood)
80,Chiropodist
80,Chiropractic Doctor
80,Chiropractor
372,Chocolate Concher
372,Chocolate Grinder
372,Chocolate Maker
372,Chocolate Mixer
372,Chocolate Moulder
372,Chocolate Production Presser
372,Chocolate Refiner
372,Chocolate Temperer
133,Choirmaster
451,Chokerman
451,Chokerwoman
134,Choreographer
134,Chorus Dancer
133,Chorus Master
425,Chronometer Assembler
374,Chutney Maker
376,Cigar Maker
376,Cigar Moulder
376,Cigar Presser
376,Cigar Roller
376,Cigar Sorter
376,Cigarette Maker
35,Cinema Manager
221,Cinema Projectionist
221,Cinematographer
24,Cio
138,Circus Comic
6,City Administrator
5,City Councillor
130,City Editor
294,Civil Defence Officer
145,Civil Draughtsperson
47,Civil Engineer
453,Civil Engineering Shoveller
6,Civil Service Commissioner
205,Civil Service Inspector
185,Claims Adjuster
185,Claims Assessor
185,Claims Examiner
185,Claims Inspector
133,Clarinettist
247,Classification Clerk (Data Processing)
245,Classification Clerk (Library)
247,Classification Clerk (Statistics)
251,Classified Advertising Clerk
353,Clay Extruding Presser
441,Cleaning Contractor
409,Cleaning Equipment Operator (Carpets)
409,Cleaning Equipment Operator (Cloth)
412,Cleaning Equipment Operator (Laundry)
397,Cleaning Equipment Operator (Metal)
409,Cleaning Equipment Operator (Textiles)
445,Cleaning Hydroblaster
13,Cleaning Service Manager
190,Clearing Agent
247,Clerical Coder
244,Clerical Controller (Air Transport Service)
244,Clerical Controller (Airline Traffic)
246,Clerical Controller (Mail)
246,Clerical Controller (Postal Service)
244,Clerical Controller (Railway Service)
244,Clerical Controller (Train)
244,Clerical Controller (Transport Service)
244,Clerical Dispatcher (Aircraft)
244,Clerical Dispatcher (Boat)
244,Clerical Dispatcher (Bus)
244,Clerical Dispatcher (Gas Pipelines)
244,Clerical Dispatcher (Oil Pipelines)
244,Clerical Dispatcher (Railway)
244,Clerical Dispatcher (Train)
244,Clerical Dispatcher (Transport Service)
244,Clerical Dispatcher (Truck)
244,Clerical Inspector (Railway Transport (Service))
244,Clerical Inspector (Road Transport (Service))
244,Clerical Superintendent (Barge)
244,Clerical Superintendent (Cargo)
244,Clerical Superintendent (Ferry)
244,Clerical Superintendent (Quay)
244,Clerical Superintendent (Railway (Depot))
244,Clerical Superintendent (Road Transport (Depot))
244,Clerical Superintendent (Road Transport (Traffic))
244,Clerical Superintendent (Water Transport (Terminal))
244,Clerical Superintendent (Wharf)
196,Clerical Supervisor
140,Clerk Of Works
38,Climatologist
65,Clinical Allergist
70,Clinical Assistant (Diagnosing And Treating Patients)
177,Clinical Assistant (Helping Doctor)
173,Clinical Coder
77,Clinical Dietician
26,Clinical Director
65,Clinical Haematologist
65,Clinical Immunologist
67,Clinical Nurse
67,Clinical Nurse Practitioner
26,Clinical Officer (Chief)
70,Clinical Officer (Paramedical)
65,Clinical Pathologist
37,Clinical Physicist
126,Clinical Psychologist
42,Clinical Researcher
42,Clinical Scientist
16,Clinical Trials Director
16,Clinical Trials Manager
476,Cloakroom Attendant
425,Clock Assembler
378,Clock Case Maker
350,Clock Maker
350,Clock Repairer
378,Clog Maker
409,Cloth Calenderer
456,Cloth Doffer
388,Cloth Examiner
357,Cloth Weaver
59,Clothing Designer
277,Clothing Display Model
138,Clown
268,Club Host
268,Club Hostess
342,Cnc Machinist
432,Coach Driver
378,Coach-Body Builder (Wooden)
94,Coaching College Tutor
391,Coal Miner
144,Coal Sampler
392,Coal Washer
460,Coalman
460,Coalwoman
309,Coastal Fishery  Skipper
309,Coastal Waters Fisher
309,Coastal Waters Fisherman
309,Coastal Waters Fisherwoman
294,Coastguard
385,Cobbler
297,Cocoa Farmer
297,Cocoa Grower
414,Cocoa-Bean Winnower
297,Coconut Farmer
297,Coconut Grower
